frb,coord_semantics,survey,status,has_published_localization_ref,exclude_class,major_sigma_as,minor_sigma_as,ra_err_as,dec_err_as,has_maj_min_ellipse,redshift,repeater_source,literature_note
20230307A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20231123B,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20221113A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20221101B,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20240215A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20121102A,host,VLBI,pending,yes,,,,,,False,,"Chatterjee et al. 2017, Nature 541, 58 (doi:10.1038/nature20797)",
20230628A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20240213A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20201124A,host,DSA-110,pending,yes,,,,,,False,,"Fong et al. 2021, ApJL 919, L23 (doi:10.3847/2041-8213/ac242b)",
20230124A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20230930A,host,RealFAST,pending,yes,,,,,,False,,"Anna-Thomas et al. 2025, ApJ 993, 221 (doi:10.3847/1538-4357/ae1014)",
20240203,host,DSA-110,pending,no,verdi_inprep,,,,,False,,Verdi+2025 (in prep.; not in Hussaini et al. 2025),TeX Verdi+2025; master previously mis-cited Hussaini 2025 (FRB absent from that table)
20231120A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20201123A,host,MeerKAT,pending,yes,,,,,,False,,"Rajwade et al. 2022, MNRAS 514, 1961 (doi:10.1093/mnras/stac1450)",
