frb,n_sersic_components,single_sersic,host_number,snr_win,snr_auto,chi2nu,mag,mag_err,re,re_err,n,n_err,b_a,b_a_err,pa,pa_err,x,x_err,y,y_err,inc,inc_err,zp_ok,ref_survey,ref_mag,ref_mag_err,ref_sep_arcsec,mag_final,mag_final_err,mag_final_source,parse_strategy,fit_log_path
20230124A,1,True,481,4.400488,5.421826426174675,0.896,18.58,0.01,3.82,0.02,1.93,0.04,0.9,0.01,87.64,2.09,37.65,0.01,36.53,0.01,26.4156,1.3498,True,LS_DR10,18.5388,0.0035,0.021,18.58,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230124A_all/fit.log
20230307A,1,True,594,4.108782,4.94269911121621,0.889,18.18,0.11,25.1,5.22,6.0,0.56,0.8,0.01,13.67,1.82,34.04,0.02,38.4,0.02,37.7612,0.9865,True,LS_DR10,18.4983,0.0069,0.067,18.18,0.11,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230307A_all/fit.log
20230526A,1,True,502,1.3334696,1.5591351247082186,0.847,20.09,0.01,1.5,0.05,1.85,0.32,0.71,0.03,-31.87,4.38,27.56,0.02,27.03,0.02,45.9491,2.5472,True,LS_DR10,20.4567,0.005,0.023,20.09,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230526A_all/fit.log
20230613A,1,True,1240,2.9577937,3.3363329287557493,0.767,20.31,0.0,4.24,0.03,0.62,0.02,0.84,0.01,-78.18,1.57,30.46,0.02,29.77,0.01,33.6264,1.0877,True,LS_DR10,20.1316,0.0038,0.008,20.31,0.0,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230613A_all/fit.log
20230626A,1,True,746,2.906948,3.393678012134677,0.773,20.0,0.03,1.81,0.07,6.0,0.89,0.74,0.03,-22.71,3.27,29.79,0.02,31.88,0.02,43.3518,2.6585,True,LS_DR10,20.101,0.0076,0.006,20.0,0.03,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230626A_all/fit.log
20230628A,1,True,661,3.8402705,4.388947668426496,0.814,19.56,0.01,4.51,0.03,1.04,0.03,0.73,0.01,82.86,1.1,34.4,0.02,31.29,0.02,44.23,0.8719,True,LS_DR10,19.4772,0.0064,0.004,19.56,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230628A_all/fit.log
20230708A,1,True,1064,0.6152995,0.6478931336256551,0.787,21.89,0.29,1.5,0.61,6.0,4.78,0.05,0.16,61.77,3.49,24.53,0.36,23.8,0.12,90.0,1.8735,True,LS_DR10,22.6508,0.0344,0.021,21.89,0.29,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230708A_all/fit.log
20230712A,1,True,492,0.81970316,0.8264121266204489,0.738,22.17,0.06,3.17,0.46,1.07,0.98,0.12,0.47,41.5,7.3,23.68,0.15,23.47,0.16,90.0,17.2538,True,LS_DR10,21.8812,0.072,0.226,22.17,0.06,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230712A_all/fit.log
20230902A,1,True,907,0.96502066,1.069769316084782,0.937,21.54,0.02,1.59,0.14,0.88,0.55,0.63,0.07,24.53,7.95,24.89,0.04,25.45,0.05,52.43,5.4711,True,LS_DR10,21.4924,0.0098,0.016,21.54,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230902A_all/fit.log
20230907D,1,True,609,2.6882925,3.19808296767916,0.789,19.41,0.02,4.64,0.13,1.58,0.08,0.85,0.02,81.95,3.95,29.95,0.03,28.0,0.03,32.5235,2.2429,True,LS_DR10,19.4985,0.0083,0.006,19.41,0.02,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20230907D_all/fit.log
20230930A,1,True,2772,183.71642,112.54307394293293,0.952,8.9,0.16,80.77,17.37,4.7,0.33,0.84,0.01,70.91,2.81,44.73,0.04,56.11,0.04,33.6264,1.0877,False,PS1_DR1,17.4763,0.0324,0.523,17.4763,0.0324,reference_PS1_DR1,last_sane_single_sersic,pipeline_scripts/Output/20230930A_all/fit.log
20231020B,1,True,1099,1.3436513,1.4968408427496067,0.828,21.75,0.01,2.24,0.06,0.67,0.15,0.59,0.03,1.57,2.87,25.82,0.03,25.53,0.04,55.4925,2.2645,True,LS_DR10,21.7913,0.013,0.028,21.75,0.01,galfit_calibrated_zp,last_sane_single_sersic,pipeline_scripts/Output/20231020B_all/fit.log
