objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
6315,6.94338013312262,-5.839246739239696,REX,0.21630119,0.29549628,0.4781934,0.18512338,LS_DR10
6334,6.943882521752219,-5.838402855652007,REX,0.08592341,0.21751119,0.38777432,0.2810779,LS_DR10
6335,6.943891478810484,-5.837654958080067,REX,0.06535739,0.15009,0.26458204,0.23076212,LS_DR10
6362,6.944612775440406,-5.836541770665626,PSF,0.060146485,0.1022196,0.27481103,0.0,LS_DR10
6135,6.939233308442166,-5.834344595823963,REX,0.11286671,0.12831542,0.12703222,0.31710753,LS_DR10
6217,6.94106505069764,-5.835169183118134,REX,0.8425908,4.14569,8.89692,0.24988884,LS_DR10
6164,6.939854289825518,-5.833806086265989,REX,0.054148808,0.11100837,0.23505503,0.26533324,LS_DR10
6160,6.939810624361196,-5.832910253221721,PSF,0.19892186,0.24932934,0.31539503,0.0,LS_DR10
6391,6.945180014996382,-5.835309825540469,PSF,0.057727057,0.17135094,0.8183129,0.0,LS_DR10
5886,6.933782805843233,-5.831200886883168,PSF,0.03882923,0.077140935,0.2187422,0.0,LS_DR10
5976,6.936020235715779,-5.832221765027959,EXP,0.24628481,0.34755167,0.40683642,0.7625968,LS_DR10
5980,6.936104761366967,-5.831026469450034,REX,0.11853536,0.18571495,0.3563167,0.26641288,LS_DR10
6092,6.938395073915948,-5.83205492961579,REX,0.03971554,0.15626861,-0.065093346,0.5399328,LS_DR10
6010,6.936748043778903,-5.830650554071075,PSF,0.16091874,0.18265213,0.23167154,0.0,LS_DR10
5959,6.935662002481664,-5.829713793810089,DEV,0.34872377,0.40663573,0.42731348,0.380981,LS_DR10
6098,6.938516357694615,-5.830369276044938,REX,0.2705871,0.6244244,0.90970117,0.3351003,LS_DR10
5848,6.932884843690722,-5.828431433976086,PSF,0.090998515,0.11161232,0.40042788,0.0,LS_DR10
5849,6.932936205278589,-5.827965122229454,REX,0.0761412,0.15460892,0.10997754,0.23881643,LS_DR10
5887,6.933786266082088,-5.827300849514157,PSF,0.06156579,0.07002718,0.15837596,0.0,LS_DR10
5907,6.934362646889401,-5.827439391444512,REX,0.32442296,0.46009767,0.95133716,0.36929032,LS_DR10
5972,6.935954690137143,-5.828606621912884,EXP,0.20786272,0.3780044,0.8738377,0.61181,LS_DR10
6104,6.938711613176455,-5.826108565052165,DEV,0.8740595,1.1869434,1.8730456,0.4298543,LS_DR10
6231,6.941471986625,-5.830873700435661,PSF,0.015762264,0.03472199,0.73561925,0.0,LS_DR10
6387,6.945136568199921,-5.831201385757939,REX,0.13479924,0.14224537,0.48046607,0.19778253,LS_DR10
6196,6.940589844945523,-5.827509829860621,REX,0.051280033,0.16285686,0.18475497,0.3055603,LS_DR10
6368,6.944705355146679,-5.827002197863669,PSF,0.03493634,0.10350434,0.27419975,0.0,LS_DR10
6435,6.946319239281595,-5.836614067754833,PSF,0.16496186,0.32975844,0.4948993,0.0,LS_DR10
6431,6.946264063125291,-5.834628772901135,PSF,0.08389864,0.08365986,0.07919625,0.0,LS_DR10
6418,6.945953452554096,-5.833172257838529,REX,0.008512087,0.09632037,1.0726397,0.3591844,LS_DR10
6423,6.946085667931301,-5.831434452928924,REX,0.14383225,0.16574137,0.4482863,0.175465,LS_DR10
6442,6.946470811698101,-5.827738225874858,REX,0.09432634,0.27190384,0.8956046,0.42300153,LS_DR10
5822,6.932424885933905,-5.824733150883287,REX,0.10754071,0.22242562,0.7964659,0.34281498,LS_DR10
5872,6.933424775798752,-5.824371927926507,REX,0.098890096,0.13003771,0.3016,0.31879443,LS_DR10
6060,6.937853459728276,-5.825056129432785,REX,0.00072155864,0.1549835,0.80061597,0.4663725,LS_DR10
