DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.260592,21.446,1.76,1.478,0.141,22.386,22.328,21.281,20.968,20.679,0.4448,1.11,0.859
1.261794,21.424,1.496,0.419,0.527,23.158,22.085,21.173,20.954,20.453,0.3928,1.99,0.473
1.289555,20.197,2.687,2.991,0.291,21.417,20.722,20.104,19.861,19.758,0.2372,1.31,0.7090000000000001
1.257558,17.114,3.339,1.741,0.964,19.655,17.86,16.962,16.542,16.243,0.0847,2.69,0.03600000000000003
1.253048,20.241,2.565,1.325,0.476,22.04,21.049,20.122,19.684,19.323,0.3424,1.92,0.524
1.254171,19.818,3.028,3.237,0.423,23.026,20.499,19.744,19.571,19.23,0.1888,3.28,0.577
1.249739,20.992,1.569,0.707,0.1,23.737,21.644,20.918,20.409,20.309,0.3157,2.82,0.9
1.253705,19.896,2.778,2.433,0.625,21.184,20.698,19.81,19.467,18.957,0.3577,1.37,0.375
1.238217,21.241,1.575,0.46,0.056,25.674,22.16,21.206,20.676,20.559,0.3808,4.47,0.944
1.243739,20.322,1.602,0.568,0.278,22.445,21.093,20.22,19.745,19.311,0.3483,2.23,0.722
1.244014,21.802,2.745,0.507,0.312,22.526,22.817,21.728,21.229,21.028,0.4899,0.8,0.688
1.259922,21.892,1.719,0.777,0.055,23.0,23.392,21.958,21.777,20.791,0.4257,1.04,0.945
1.262458,18.486,2.956,2.707,0.594,20.741,19.287,18.427,17.957,17.623,0.1409,2.31,0.406
1.267487,19.868,1.983,0.917,0.434,22.649,20.717,19.863,19.487,19.21,0.1648,2.79,0.5660000000000001
1.264931,20.583,4.468,0.719,0.711,25.361,22.092,20.698,20.173,19.528,0.4017,4.66,0.28900000000000003
1.281746,20.259,2.689,2.854,0.105,21.983,20.646,20.112,20.036,20.02,0.2368,1.87,0.895
1.271814,20.221,1.334,0.26,0.099,23.609,21.526,20.235,19.812,19.506,0.2699,3.37,0.901
1.262236,21.259,2.969,3.476,0.5,22.669,22.501,20.892,19.979,19.278,0.5389,1.78,0.5
1.264236,21.916,2.969,1.071,0.426,23.629,24.334,22.17,22.654,22.309,0.3926,1.46,0.5740000000000001
1.266456,21.121,2.97,0.99,0.597,23.422,22.875,21.193,20.712,20.047,0.4099,2.23,0.403
1.273243,20.353,2.337,0.401,0.944,24.226,22.026,20.365,19.777,19.419,0.3622,3.86,0.05600000000000005
1.262878,21.277,1.438,0.296,0.649,22.535,21.816,21.076,20.775,20.399,0.3636,1.46,0.351
1.264741,19.857,2.613,2.48,0.384,22.396,21.278,19.85,19.437,18.876,0.3809,2.55,0.616
1.258587,21.013,7.36,2.555,0.4,22.309,21.446,21.157,20.764,20.726,0.2561,1.15,0.6
1.269984,21.65,2.128,1.624,0.05,22.174,21.902,21.277,21.402,20.776,0.4053,0.9,0.95
1.26273,21.682,2.97,0.709,0.691,24.764,23.126,21.852,21.262,20.857,0.4232,2.91,0.30900000000000005
1.259039,21.526,1.548,0.529,0.307,26.355,23.365,21.483,21.007,21.018,0.3856,4.87,0.6930000000000001
1.284619,21.297,2.97,4.108,0.058,22.417,22.853,21.46,20.813,21.092,0.4801,0.96,0.942
1.294206,19.542,6.799,1.798,0.393,24.173,20.464,19.762,19.431,19.242,0.2341,4.41,0.607
1.286511,21.205,1.519,0.362,0.661,24.697,22.035,21.058,20.738,20.252,0.3642,3.64,0.33899999999999997
1.28819,21.013,1.798,0.557,0.614,23.084,21.917,20.987,20.646,20.345,0.3752,2.1,0.386
1.284481,21.99,2.969,1.319,0.05,22.72,22.687,21.788,21.366,20.837,0.5005,0.93,0.95
1.282252,21.394,1.381,0.579,0.176,23.55,22.372,21.231,20.492,19.882,0.5436,2.32,0.8240000000000001
1.27756,21.091,1.978,1.369,0.05,22.989,21.638,20.924,20.627,20.459,0.2737,2.07,0.95
1.292899,20.628,2.073,1.582,0.185,25.171,21.476,20.696,20.375,19.903,0.2859,4.47,0.815
1.285585,20.72,2.15,0.98,0.417,21.802,20.803,20.632,20.2,20.082,0.2121,1.17,0.583
1.294724,20.065,2.074,0.874,0.488,22.969,21.11,20.033,19.564,19.165,0.261,2.94,0.512
1.286834,19.993,2.573,1.681,0.5,22.217,21.072,20.028,19.604,19.098,0.3764,2.19,0.5
1.285118,20.985,1.999,0.566,0.654,22.766,21.595,21.003,20.73,20.601,0.2331,1.76,0.346
1.316171,18.283,1.478,0.493,0.1,19.934,18.7,18.254,18.115,18.033,0.0667,1.68,0.9
1.30349,18.091,3.592,4.107,0.282,19.971,18.621,18.064,17.665,17.427,0.0932,1.91,0.718
1.307637,20.855,2.365,1.676,0.326,21.783,21.012,20.755,20.547,20.178,0.2179,1.03,0.6739999999999999
1.316619,20.658,2.969,3.211,0.497,21.827,21.137,20.469,20.003,19.839,0.4042,1.36,0.503
1.303716,21.921,2.199,1.369,0.197,22.862,22.546,21.809,21.332,21.435,0.4865,1.05,0.8029999999999999
1.314752,20.835,2.657,2.124,0.08,22.661,21.857,20.832,20.388,20.312,0.4172,1.83,0.92
1.306911,21.551,1.329,0.422,0.05,22.701,21.671,21.374,20.923,20.67,0.367,1.33,0.95
1.314725,21.393,2.896,1.498,1.0,22.826,21.566,21.235,20.899,20.713,0.149,1.59,0.0
1.312596,21.095,2.516,1.328,0.122,25.186,22.29,21.097,20.808,21.311,0.2763,4.09,0.878
1.308833,21.836,2.473,0.983,0.578,22.7,22.515,21.536,22.068,21.095,0.3693,1.16,0.42200000000000004
1.316476,18.912,4.192,5.432,0.216,20.473,19.332,18.836,18.546,18.417,0.1189,1.64,0.784
1.317019,21.288,3.2,2.646,0.15,24.484,22.159,21.5,20.574,21.111,0.3287,2.98,0.85
1.308806,20.144,2.456,1.425,0.674,22.915,21.59,20.294,19.778,19.42,0.3311,2.62,0.32599999999999996
1.294824,21.664,1.723,1.17,0.358,22.955,22.309,21.429,21.059,20.487,0.4349,1.53,0.642
1.291613,20.452,3.193,2.648,0.3,22.57,21.497,20.479,20.178,20.361,0.3172,2.09,0.7
