cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.72,0.7985670086305162,0.8121406987028302,0.798485103046595,0.7127585829472072
0.725,0.8037778863377301,0.8167563384433962,0.8034974238351255,0.7196541282060637
0.73,0.8083020043471181,0.8211969339622641,0.808271729390681,0.7265861578313693
0.735,0.8121004226758141,0.8246701798349056,0.8121359767025089,0.7323142033638586
0.74,0.8197503593098419,0.8335329451650944,0.8231406810035843,0.7445364661242657
0.745,0.8239912774438379,0.8379919663915094,0.8281950044802867,0.7512860739173264
0.75,0.8291171951884341,0.8424878390330188,0.8330673163082437,0.7583275566419789
0.755,0.8345086128162104,0.8470942659198113,0.8374495967741935,0.7643109927396111
0.76,0.8397407305140786,0.8515072228773585,0.8418738799283154,0.7705863037688351
0.765,0.8448914282477715,0.8562426297169812,0.846648185483871,0.7778102083257324
0.77,0.8498014060873813,0.8605634581367925,0.8511704749103942,0.7844138786529972
0.775,0.8543963240656174,0.864524985259434,0.8553707437275986,0.7907621584151191
0.78,0.858994782042296,0.8686247051886793,0.8596270161290323,0.7970009850778941
0.785,0.8628144403616462,0.8724111880896226,0.8634912634408602,0.8031668430077712
0.79,0.8659119389987469,0.8757001768867925,0.8672715053763441,0.8086394979751177
0.795,0.8728149359614282,0.8835587411556604,0.877212141577061,0.8200226203071984
0.8,0.8767195542433961,0.8874005011792453,0.8816504256272402,0.8276113685285855
0.805,0.8813180122200747,0.8916568396226415,0.8863827284946236,0.8350176949177277
0.81,0.8857748702590571,0.8956552181603774,0.8906530017921147,0.8417308183443395
0.8150000000000001,0.8903202282590995,0.899635170990566,0.8947972670250897,0.8482250355722573
0.8200000000000001,0.8948797462529117,0.9037256780660378,0.8990535394265233,0.8554489401291546
0.8250000000000001,0.8989507444616724,0.9073002653301887,0.9029457885304659,0.8612864387609909
0.8300000000000001,0.9028128827623316,0.9107366597877359,0.906572020609319,0.867306359225072
0.835,0.9065759011066035,0.9141822670990566,0.9099602374551972,0.8726330767266226
0.84,0.9093724998761,0.9167434404481132,0.9130264336917563,0.8777773723959283
0.845,0.9144417776456178,0.9229529038915094,0.9210209453405018,0.8874092451384582
0.85,0.9170861564820911,0.9255693543632075,0.9241431451612904,0.8927724470064577
0.855,0.9201340951409981,0.9282502948113207,0.9269153225806451,0.8970776022474369
0.86,0.9234829336675092,0.9311707694575472,0.9300235215053764,0.9021124448173957
0.865,0.9271149720694123,0.9344413325471698,0.9337057571684588,0.9082053340143749
0.87,0.9302868106738033,0.9369656544811321,0.9361979166666666,0.9123280674231092
0.875,0.9336533491925264,0.9398492777122641,0.9393201164874552,0.9174723630924149
0.88,0.9367260678405301,0.9423275353773585,0.9418822804659498,0.9214856434018023
0.885,0.9394801866287179,0.9446583873820755,0.9443744399641577,0.9256813455434346
0.89,0.9419227855539744,0.9468971108490566,0.9466985887096774,0.9294027509212303
0.895,0.9439582846583547,0.9489700029481132,0.9490647401433692,0.932868765733883
0.9,0.9476363430400091,0.9533184699292453,0.9543850806451613,0.9401656390236783
0.905,0.9497886620929887,0.9552715949292453,0.9566532258064516,0.9441424349666168
0.91,0.9522312610182452,0.9573721255896226,0.9590333781362007,0.9483746214746981
0.915,0.9547588199061192,0.9595647847877359,0.9614135304659498,0.9524608705169835
0.92,0.9570845988827765,0.9615823997641509,0.9635696684587813,0.9555620416651465
