objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651753460367394,150.042950574505,1.63320382953629,21.71034,23.13041,22.99674,0.2616252,0.6069635,-2.687213e-06,-9.870761e-06,3,1,1,1.4200700000000026,1.2864000000000004
1237651753460302669,149.998082539152,1.79417115508674,22.41265,25.58686,23.94591,0.3449161,0.003296799,-0.2575822,-0.2575985,3,1,1,3.174210000000002,1.533260000000002
1237651753460302591,149.92201673001,1.7646501211045,21.73654,24.21146,22.85375,0.6172589,0.9124912,-0.5129247,-0.6881703,3,1,1,2.4749199999999973,1.11721
1237651753460302541,149.879652065056,1.69565632216686,21.96453,23.91613,23.07002,0.5875131,0.9125484,-0.4585652,-0.6150678,3,1,1,1.9515999999999991,1.1054899999999996
1237651753460302461,149.998956958241,1.68139052329373,20.59468,22.81191,21.92396,0.4476144,0.6200699,-0.2861413,-0.4427913,3,1,1,2.2172300000000007,1.3292800000000007
1237651753460302450,149.997922144414,1.63165957255325,20.20038,21.93605,20.88941,0.697192,1.054337,-0.1247955,-3.605395,3,1,1,1.7356700000000025,0.6890300000000025
1237651753460302383,149.975282294726,1.68646297967681,19.83554,23.81351,21.30207,0.2739337,2.197154,-2.300191,-19.36055,3,1,1,3.977969999999999,1.4665299999999988
1237651753460302253,149.922101801409,1.7729512610842,21.57601,23.45558,22.69573,0.4756415,0.4827485,-0.01413046,-0.03423794,3,1,1,1.879570000000001,1.119720000000001
1237651753460302252,149.920443272644,1.83285769959524,21.0635,22.69774,21.48577,0.3996896,0.7842704,-0.3168859,-0.4442653,3,1,1,1.6342399999999984,0.4222699999999975
1237651753460302200,149.89932989191,1.66821676487379,21.40639,23.06138,22.24682,0.4785441,0.845626,-0.07508101,-0.1030529,3,1,1,1.6549900000000015,0.8404300000000013
1237651753460302199,149.897754049866,1.64798178533453,21.46192,22.51632,22.6764,0.7788097,0.3041878,-0.001723012,-0.002406109,3,1,1,1.0544000000000011,1.2144800000000018
1237651753460302092,149.898433859147,1.67897255495931,21.3212,22.03007,21.59717,0.2196093,0.40323,-0.4072077,-0.5170329,3,1,1,0.7088699999999974,0.2759699999999974
1237651753460301849,149.899311080804,1.68718222793487,21.39049,24.78806,23.07067,0.3450516,0.3789421,-3.787787e-05,-7.237128e-05,3,1,1,3.3975700000000018,1.68018
1237651753460237073,149.761564206577,1.65736026817776,21.3338,23.56031,23.0568,0.7836048,0.9427527,-0.4039069,-0.7973076,3,1,1,2.226510000000001,1.722999999999999
1237651753460237021,149.720756730887,1.62879549264245,22.02063,22.84698,23.29111,0.3770631,0.650362,-0.01435039,-0.01516812,3,1,1,0.8263499999999979,1.2704799999999992
1237651753460236971,149.854715093435,1.83299336014916,20.13907,21.38239,20.79022,0.6513827,1.451346,-1.058691,-4.367996,3,1,1,1.2433200000000006,0.6511500000000012
1237651753460236940,149.836608938176,1.77917583806167,21.1263,23.41587,22.15728,0.4499944,0.9791901,-0.02447946,-0.03501084,3,1,1,2.289570000000001,1.0309799999999996
1237651753460236939,149.836873916073,1.7553463987227,20.99525,22.79094,21.20255,0.7534186,1.508558,-0.0009758277,-0.003552339,3,1,1,1.7956900000000005,0.20730000000000004
1237651753460236876,149.814408598288,1.81618258609456,21.8051,24.61686,22.60859,0.5111784,0.575002,-0.3366957,-0.3603851,3,1,1,2.8117599999999996,0.80349
1237651753460236767,149.779336568826,1.74133521234341,20.90954,22.63301,22.14119,0.9445796,1.137221,-0.01539627,-0.1354874,3,1,1,1.723469999999999,1.231650000000002
1237651753460236753,149.777814310768,1.76659699676605,20.78436,22.08551,21.212,0.6632736,0.688728,-0.0710942,-0.07510963,3,1,1,1.3011499999999998,0.42764000000000024
1237651753460170769,149.601487144648,1.63977468640908,20.02604,26.39033,20.46638,0.6095299,2.461294,-0.5199078,-4.678297,3,1,1,6.3642900000000004,0.4403400000000026
1237651753460106130,149.54537126813,1.63218243447047,21.91418,25.05517,23.30397,0.2709627,0.8301896,-1.276123,-1.385063,3,1,1,3.1409899999999986,1.3897899999999979
1237651753460106077,149.484145955582,1.68898266017856,22.03317,24.18409,23.25583,0.3986912,0.856121,-1.100964,-1.106432,3,1,1,2.150920000000003,1.2226600000000012
1237651753460106023,149.431009836111,1.71745863382318,21.79708,24.08916,23.63682,0.3588446,0.9125854,-0.08037632,-0.1240674,3,1,1,2.2920799999999986,1.839739999999999
1237651753460105989,149.565534125607,1.75524988283323,19.92833,22.28938,20.79765,0.4285691,1.119026,-0.1070239,-4.423306,3,1,1,2.3610500000000023,0.8693200000000019
1237651753460105987,149.564362091702,1.76736919707002,20.29969,22.52247,20.97624,0.4279587,1.453842,-0.06337975,-0.5645407,3,1,1,2.22278,0.6765500000000024
1237651753460105985,149.565549149042,1.67211769160319,20.99425,23.78275,22.02459,0.7105762,1.137017,-1.28438,-1.772427,3,1,1,2.788499999999999,1.030339999999999
1237651753460105982,149.563864393606,1.73850623059003,20.71589,22.57865,21.59945,0.506102,1.015655,-1.135881,-2.531867,3,1,1,1.862759999999998,0.8835599999999992
1237651753460105981,149.565387866111,1.66707875600089,21.38233,22.96794,22.07741,0.4499994,0.5716047,-0.1000268,-0.1660161,3,1,1,1.585609999999999,0.6950800000000008
