objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237653664721797465,149.6436325337,2.02664080484099,20.80925,22.81363,21.62062,0.5616106,0.5972019,-0.03161157,-0.06279346,3,1,1,2.004380000000001,0.8113700000000001
1237653664721797512,149.514819779664,1.89224245700591,21.93863,23.86779,22.41388,0.3626134,0.3798445,-0.02420002,-0.02517939,3,1,1,1.9291599999999995,0.47524999999999906
1237653664721797513,149.515277127486,1.89636740032282,21.05367,23.18423,22.0515,0.5499071,0.9566747,-0.2189634,-0.5041152,3,1,1,2.130559999999999,0.9978300000000004
1237653664721797515,149.51618277913,1.90464677848198,21.72543,23.24256,22.25551,0.7073348,0.7325165,-0.5384334,-0.6741533,3,1,1,1.5171300000000016,0.5300800000000017
1237653664721797519,149.516398047904,1.93921210754048,20.40069,22.50369,21.59448,0.6703669,0.5508317,-0.05421746,-0.08693248,3,1,1,2.102999999999998,1.19379
1237653665259062287,150.422003413894,2.36968820032979,22.10028,24.58321,23.32924,0.8535119,0.4401136,-0.0145674,-0.01498678,3,1,1,2.4829299999999996,1.2289599999999972
1237653665259062322,150.449123374845,2.36846177415069,21.54831,23.46414,22.78656,0.05,1.026147,-1.075807,-0.8331962,3,1,1,1.9158299999999997,1.2382500000000007
1237653664721797523,149.517289734827,1.94664020928571,22.3389,25.24353,23.22349,0.1138796,0.1999988,-0.002116423,-0.002141925,3,1,1,2.904630000000001,0.8845900000000029
1237653664721797524,149.515759381491,2.00639359550007,21.18831,23.09464,22.26656,0.5241414,1.314385,-0.02636289,-0.04093217,3,1,1,1.906329999999997,1.078249999999997
1237653664721797570,149.536676796831,1.99417864266927,22.07256,23.34876,22.92802,0.05,0.9826555,-0.01965073,-0.02562527,3,1,1,1.2761999999999993,0.8554600000000008
1237653665259062392,150.495996677754,2.42849708034132,21.7562,24.40684,23.44977,0.1215629,1.438149,-0.1411483,-0.2436368,3,1,1,2.650639999999999,1.6935700000000011
1237653665259062394,150.495952050217,2.46960541566756,21.03806,24.50281,22.95535,0.6142491,0.8503178,-0.2032361,-0.276599,3,1,1,3.4647499999999987,1.9172899999999977
1237653665259062404,150.512651477818,2.2972007072902,21.83024,23.39278,23.52378,0.5382682,0.3490929,-0.001671228,-0.001977546,3,1,1,1.5625399999999985,1.6935399999999987
1237653664721797648,149.56969485063,1.88096666744574,20.8395,22.31024,21.6867,0.7051458,0.4952447,-0.1212962,-0.1649053,3,1,1,1.4707399999999993,0.8471999999999973
1237653664721797654,149.569720792329,1.98723773315597,21.71884,23.96583,22.56568,0.05,0.9127529,-0.7206796,-0.8254886,3,1,1,2.2469900000000003,0.8468400000000003
1237653664721797713,149.594146827999,1.95111181155678,21.60524,22.87811,22.36989,0.05,1.339818,-0.2012399,-0.1753399,3,1,1,1.272870000000001,0.7646500000000032
1237653665259126977,150.613385336699,2.41652379128317,17.55377,20.59062,18.77886,0.5912765,1.31502,-386.6368,-3.404699,3,1,1,3.036850000000001,1.2250900000000016
1237653665259061829,150.410485576878,2.37043484205612,21.7135,22.85112,22.27777,0.609321,0.5882254,-1.087323,-1.167424,3,1,1,1.1376200000000019,0.5642700000000005
1237653665259061881,150.428721946313,2.37436643376696,19.5795,21.22498,20.41656,0.6737383,1.764325,-3.602226,-34.97898,3,1,1,1.6454799999999992,0.837060000000001
1237653665259061882,150.429094404103,2.33909576467979,21.83238,23.82911,22.34807,0.05055842,1.667261,-0.7691252,-0.8700052,3,1,1,1.9967299999999994,0.5156899999999993
1237653665259061885,150.428885885522,2.43887378665927,19.51152,22.41356,20.76323,0.7332044,0.6239207,-0.9807453,-1.019725,3,1,1,2.9020399999999995,1.2517099999999992
1237653665259061888,150.429202904494,2.47584133961409,21.49217,24.83775,23.058,0.3559345,0.6227328,-0.1501321,-0.338349,3,1,1,3.345579999999998,1.5658299999999983
1237653665259061936,150.452088736007,2.30821077676532,21.8993,23.45328,22.24019,0.05,0.6265787,-0.6020142,-0.5322176,3,1,1,1.5539799999999993,0.34088999999999814
1237653665259061939,150.452022474536,2.38906740991324,22.70587,24.60683,25.19571,0.09091422,0.572619,-8.012766e-08,-1.708833e-07,3,1,1,1.9009599999999978,2.4898399999999974
1237653665259061948,150.45237189894,2.37989380467886,20.3435,22.43323,21.52384,0.2099107,2.481081,-0.0004004562,-0.09741283,3,1,1,2.0897299999999994,1.180340000000001
1237653664721928569,149.834161168006,1.83599049669816,21.05933,23.38752,21.60991,0.4821363,0.9584508,-0.2553866,-0.3444963,3,1,1,2.3281899999999993,0.5505800000000001
1237653664721928580,149.833891848269,2.01069090054067,21.5669,24.66464,22.44069,0.4118336,1.354003,-0.4753711,-0.53823,3,1,1,3.097739999999998,0.8737899999999996
1237653665259062085,150.498729803917,2.29566004154939,20.65095,23.84591,22.18347,0.7105282,0.2671049,-0.03814048,-0.01049217,3,1,1,3.1949599999999982,1.532519999999998
1237653665259062087,150.498881548594,2.28748757220707,21.95961,22.92918,23.02052,0.7509778,0.6995651,-0.005685429,-0.00629671,3,1,1,0.9695699999999974,1.0609099999999998
1237653664721928629,149.853485624204,2.03794274529504,19.49168,22.01782,20.77054,0.4777038,1.578111,-1.259243,-14.67129,3,1,1,2.5261400000000016,1.2788600000000017
1237653664721928670,149.875747541951,1.91800062003274,22.12167,23.69797,23.00063,0.5388845,0.3791501,-0.8453912,-0.8711413,3,1,1,1.5762999999999998,0.8789599999999993
1237653665259062185,150.528643455641,2.46273061038126,21.07451,23.04869,22.55706,0.3501481,0.8695319,-0.01040518,-0.04555536,3,1,1,1.9741800000000005,1.4825499999999998
1237653665259062187,150.529527112589,2.47531321199045,21.90063,24.35871,22.98259,0.05,0.8383598,-0.1022609,-0.1050786,3,1,1,2.458079999999999,1.0819599999999987
1237653664721928741,149.896197647444,2.02424470589926,19.72085,22.01986,21.29868,0.7292305,1.022721,-1.964613,-0.7744971,3,1,1,2.2990100000000027,1.5778300000000023
1237653664721928796,149.927315188338,1.97114543294922,20.51972,24.3445,21.84852,0.713097,0.4268022,-0.06751371,-0.04702718,3,1,1,3.8247800000000005,1.328800000000001
1237653664721928797,149.926685665892,1.97223715168735,22.00553,24.67378,23.86708,0.3462566,0.6494501,-0.00860875,-0.009510416,3,1,1,2.6682500000000005,1.8615500000000011
1237653665259062290,150.429007198847,2.31973408276508,21.94141,24.17102,23.34425,0.4579296,0.3043117,-0.2756049,-0.2278036,3,1,1,2.2296099999999974,1.4028399999999976
1237653665259062293,150.430070950988,2.30873257564945,21.27445,22.21206,22.18262,0.8586577,2.463202,-0.4005118,-0.2337086,3,1,1,0.9376099999999994,0.9081699999999984
1237653664721928848,149.949771882231,1.86099944903756,22.31558,24.20827,25.09683,0.1894934,0.4963096,-0.02266151,-0.01627311,3,1,1,1.8926899999999982,2.78125
1237653664721928849,149.949713733442,1.86009421548221,21.93736,23.92368,22.40816,0.5067949,0.7766121,-0.02952492,-0.03361783,3,1,1,1.9863199999999992,0.470799999999997
1237653664721928854,149.948712003439,1.9975740593566,21.46186,22.94986,21.85042,0.06068806,0.2042494,-0.1937198,-0.1900013,3,1,1,1.4879999999999995,0.38855999999999824
1237653665259062346,150.47077087077,2.41958369269754,22.00818,26.08062,23.00278,0.3999828,0.7277912,-0.1857796,-0.2194983,3,1,1,4.07244,0.9946000000000019
1237653664721928871,149.808930595119,1.99940693559391,22.22219,23.34225,23.76034,0.09089074,0.4721487,-0.02178819,-0.02623492,3,1,1,1.1200599999999987,1.5381499999999981
1237653664721928872,149.809837271943,1.99658107897986,22.17905,23.69025,24.42141,0.05,0.8576635,-1.060624,-0.9581593,3,1,1,1.5111999999999988,2.2423600000000015
