SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
623.0,150.7282715,1.721065,20.9318352,0.78413,0.8925,0.21587,2.0,0.0
624.0,150.7281952,1.721573,22.2526989,0.78363,0.8885,0.21637,9.0,0.0
649.0,150.7192535,1.7152669,19.4881916,0.64038,0.939,0.35962,2.0,0.0
656.0,150.7153778,1.700261,20.6967735,0.8123199999999999,0.2395,0.18768,1.0,0.0
657.0,150.7139587,1.6943901,19.4183407,0.58931,1.008,0.41069,2.0,0.0
661.0,150.716156,1.70675,22.4066906,0.47502999999999995,0.414,0.52497,2.0,0.0
669.0,150.712738,1.698437,21.71418,0.79172,0.6265,0.20828,2.0,0.0
678.0,150.7098236,1.6987571,19.66786,0.955961,0.29,0.044039,2.0,0.0
679.0,150.7133331,1.723648,20.2676773,1.0,0.9635,0.0,2.0,0.0
695.0,150.7060852,1.702878,21.1348324,0.86654,0.514,0.13346,3.0,0.0
697.0,150.7099457,1.726941,21.0269203,0.65184,0.245,0.34816,2.0,0.0
717.0,150.7039795,1.6658649,20.8733749,0.37242,0.1905,0.62758,2.0,0.0
719.0,150.7012024,1.6474251,21.1640129,0.82284,0.3165,0.17716,3.0,0.0
721.0,150.7039337,1.660596,21.4284992,0.36534999999999995,0.6895,0.63465,2.0,0.0
731.0,150.7036438,1.64864,21.0548573,0.48141999999999996,0.451,0.51858,1.0,0.0
732.0,150.7102661,1.684672,21.5172596,0.28672,0.4175,0.71328,2.0,0.0
734.0,150.7045135,1.648826,21.9996891,0.72185,0.4645,0.27815,2.0,0.0
737.0,150.7061005,1.654929,21.8548088,0.53634,0.502,0.46366,2.0,0.0
739.0,150.7069397,1.648138,20.6159191,0.62688,0.89,0.37312,2.0,0.0
744.0,150.7096863,1.657594,21.7904873,0.7607200000000001,0.743,0.23928,2.0,0.0
750.0,150.7139893,1.673445,21.8664551,0.75503,0.3625,0.24497,2.0,0.0
757.0,150.7099609,1.643574,20.714468,0.27688999999999997,0.969,0.72311,2.0,0.0
758.0,150.7098694,1.64314,20.7766342,0.85912,0.586,0.14088,2.0,0.0
771.0,150.7176971,1.6648771,20.4054337,0.6227400000000001,0.425,0.37726,2.0,0.0
775.0,150.7160492,1.652105,19.7699833,0.960909,1.0714999,0.039091,1.0,0.0
777.0,150.7170258,1.655558,21.6095829,0.7211799999999999,0.3615,0.27882,1.0,0.0
778.0,150.7176819,1.655261,21.3785954,0.76248,0.652,0.23752,2.0,0.0
783.0,150.7214203,1.662593,22.2203064,0.46746,0.298,0.53254,2.0,0.0
785.0,150.7241516,1.6740969,21.8634663,0.7699199999999999,0.2515,0.23008,1.0,0.0
788.0,150.7269745,1.688333,22.2243576,1.0,0.039,0.0,2.0,0.0
791.0,150.7210541,1.646274,22.4072456,0.28297000000000005,0.5385,0.71703,2.0,0.0
799.0,150.7259674,1.65544,22.2842846,0.27975000000000005,0.3825,0.72025,2.0,0.0
801.0,150.7294159,1.673987,21.4054966,0.42538,0.974,0.57462,2.0,0.0
807.0,150.7270813,1.6514651,22.4614792,0.70101,0.642,0.29899,2.0,0.0
814.0,150.7291107,1.652577,22.0222282,0.488,0.694,0.512,2.0,0.0
