objid,ra,dec,modelmag_r,modelmag_u,expab_r,devab_r,lnlexp_r,lnldev_r,lnlstar_r,fracdev_r,score,nnavgz
1237651752387150256,151.298722042685,0.953599598607249,20.11469,21.77359,0.8297237,0.838328,-0.1672457,-0.6917997,-54.94924,0.2276998,0.8229777,0.137865
1237651752387150259,151.298635512676,0.963478562334318,20.44032,22.15416,0.7976336,0.7157626,-0.05311313,-1.226217,-29.83768,0.0,0.8229777,0.131464
1237651752387215498,151.406230332403,1.00294200199474,18.18036,20.64472,0.6703745,0.6527867,-28.06455,-36.02628,-1673.503,0.5830882,0.824365,0.089374
1237651752387215905,151.526677994415,1.0340779013463,20.21705,22.59722,0.5500041,0.4499813,-0.08427007,-1.292146,-41.28717,0.0,0.824365,0.188532
1237651752387281423,151.638598396538,0.854332265311435,19.95586,23.64387,0.6947975,0.6800988,-0.5590772,-0.135084,-23.04923,0.9805732,0.8381143,0.33492
1237651752387281429,151.639925343394,0.963287675826258,20.72298,22.04376,0.8634304,0.8352991,-0.00540703,-0.2538757,-14.0471,0.0,0.8381143,0.599362
1237651752387346802,151.751656929125,0.852682338376867,19.57214,22.1874,0.7066373,0.6643727,-0.005524023,-3.081054,-165.6759,0.03659967,0.8400351,0.154476
1237651752387347030,151.750143305427,0.951338701094096,19.60658,21.55075,0.8498489,0.8656315,-0.1059828,-13.29307,-202.7551,0.0,0.8400351,0.189106
1237651752387347037,151.751823962485,0.991715360209399,20.48478,22.60983,0.4107532,0.3610314,-0.04667881,-0.09373078,-17.54934,0.5079414,0.8400351,0.14559
1237651752387412193,151.975311252227,1.00411170980335,19.57622,20.43286,0.5464758,0.4814585,-7.525774,-0.4096922,-46.18391,1.0,0.8323709,0.556172
1237651752922710271,148.373917658497,1.34101991171872,19.0132,20.44666,0.8949947,0.8601689,-3.435067,-22.14151,-468.4741,0.2027693,0.818365,0.098101
1237651752922710274,148.376590394219,1.36505234028898,16.08503,18.48077,0.7092259,0.7805461,-3287.881,-1576.892,-13775.43,0.8664563,0.818365,0.078253
1237651752922710795,148.373713148542,1.18165172249596,20.82829,22.64908,0.4660486,0.4172971,-0.01503687,-0.1091045,-4.462405,0.0,0.818365,0.37706
1237651752922710807,148.373977870078,1.28070317987512,20.71164,23.65293,0.2310788,0.1550693,-0.0916831,-0.1437207,-5.024777,0.3996226,0.818365,0.403957
1237651752922841558,148.597264312071,1.20052000219653,20.25414,21.97278,0.722986,0.7230873,-1.357754,-2.567246,-39.13592,0.1195035,0.836735,0.18614
1237651752922841560,148.597157176578,1.32843569797118,20.82677,22.86288,0.5121115,0.3814204,-0.1076925,-0.3687993,-7.246178,0.0,0.836735,0.397009
1237651752922841882,148.597756771208,1.20910156599557,19.30265,19.98285,0.05,0.1787763,-2.97836,-2.463356,-6.796599,0.5610018,0.836735,0.406492
1237651752922907063,148.701943877405,1.27589976269792,20.03325,22.87675,0.2898292,0.2283207,-0.006168227,-0.579155,-80.67001,0.01094729,0.8323405,0.288516
1237651752923038198,149.055419078611,1.25667308002899,20.36657,22.04801,0.8458501,0.7767696,-0.1794321,-1.630657,-23.14102,0.0,0.8155211,0.310814
1237651752923103702,149.167358117999,1.20198698310518,19.49631,21.19975,0.6509816,0.5822883,-0.06866384,-5.592271,-153.0951,0.0,0.8225052,0.137203
1237651752923103710,149.169318252379,1.36147086629288,20.98634,22.34796,0.3463099,0.1642866,-0.4858933,-0.3360743,-1.29136,1.0,0.8225052,0.469716
1237651752923103914,149.275612417366,1.20270955807413,20.73817,23.32291,0.3144109,0.2008271,-0.09246712,-0.09893141,-5.112217,0.7524555,0.8225052,0.400661
