cos_i,00_strict_ba_gt_0p2,01_ur_lt_2p3,02_lnl_exp_wins,03_mag_lt_21
0.34500000000000003,0.296004203496755,0.3076537661509497,0.2842087354757427,0.19222213844065753
0.35000000000000003,0.3005731141180081,0.3123665791111853,0.2889125946634419,0.19613054843412256
0.355,0.3135539674212504,0.3268284165616507,0.3036633085189051,0.20363318755341075
0.36,0.3201380159099383,0.33353779815678,0.310162726858898,0.2085469763233298
0.365,0.3273357617270631,0.34079984209647296,0.3170207972190674,0.21412682853264967
0.37,0.3345755755062178,0.3481453927091083,0.3239547362758126,0.21985748755843765
0.375,0.3416108235092269,0.35516602644884077,0.33041047263898915,0.22540592168099333
0.38,0.3484975963521303,0.3619968722955225,0.3367926393570013,0.23072814557884683
0.385,0.3553109564769814,0.3688398645673595,0.3432069927947729,0.23627029608404967
0.39,0.3618504624176375,0.3754065256669147,0.34953168322750033,0.2419632534057206
0.395,0.3676987340018015,0.38130968829236445,0.3553252927841972,0.24736088071180817
0.4,0.37322943371573936,0.3868590862851677,0.3608729038398757,0.2524129090634897
0.405,0.37824954385131365,0.39196210315351565,0.3660618628753776,0.25729527974664457
0.41000000000000003,0.3825718207343911,0.396404658154047,0.37054501312758353,0.26153043784245716
0.41500000000000004,0.39626452994414035,0.41148596328743,0.386109591182678,0.2703149349017242
0.42,0.4033822641472082,0.41867361037304707,0.39304353023942323,0.2764917307595637
0.425,0.4106509480963835,0.4259857583165055,0.39994758162782035,0.28275649726034285
0.43,0.4179996436596157,0.43335256517316245,0.4070447533347741,0.28926004122052984
0.435,0.42527575136679635,0.44072696354554153,0.41412813073325944,0.29586412305836224
0.44,0.43216664851970266,0.44776429861986244,0.42103448117306796,0.3025624591564872
0.445,0.43885710420646623,0.4543294414162732,0.42744883461083955,0.3086575679887398
0.45,0.4451351288929362,0.46064102758756814,0.4337229459125165,0.31479666214246216
0.455,0.4510493894371472,0.4665411536067291,0.43962001278272583,0.3207723822450108
0.46,0.4563911957529505,0.47190228200962603,0.44517682004404985,0.32635851807168353
0.465,0.46089164282815487,0.4765315882969194,0.44992206215715397,0.3309644095913135
0.47000000000000003,0.473473262923113,0.49073683251598016,0.46532800566486265,0.3401259236917509
0.47500000000000003,0.4801694926438807,0.4976208189727161,0.47215388930527263,0.34632157040164885
0.48,0.4874835440030883,0.5050012905576727,0.4792418648065808,0.35323354948977026
0.485,0.4948149174643082,0.5123513960797412,0.48637582133611673,0.3603089026290655
0.49,0.5020770025174788,0.5195041221930371,0.4932959660843936,0.3673402704468909
0.495,0.5092755731966042,0.5266720313377768,0.5001218497248036,0.37427110038707084
0.5,0.5161004813894635,0.5333054977756859,0.506600576602094,0.38092545116372595
0.505,0.5225624503020645,0.5396702245570351,0.5128448002354229,0.38712738149097675
0.51,0.5286499318663987,0.5456644853711492,0.518889006395961,0.3938068667370432
0.515,0.5340701000722579,0.5510590164432231,0.5244963927883355,0.39992711003870707
0.52,0.5386398355555115,0.555630627211029,0.5293772789347115,0.4052179158497964
0.525,0.5506135323560368,0.5690706466453092,0.5444084770623641,0.4149449555119891
0.53,0.5569517719685496,0.5755264716153227,0.5509860631503442,0.421687276931584
0.535,0.564074455343621,0.5825638066896437,0.5579016097957983,0.428926004122053
0.54,0.5713753089108192,0.5897119778935063,0.5648677355723029,0.4363846579198713
0.545,0.5784757210118747,0.5966825076294733,0.571712011624004,0.4435039963806364
0.55,0.5855002458088762,0.6034283285000683,0.5782987939176296,0.4507050218669884
0.555,0.5922467921116797,0.6099357757769917,0.5846073909904773,0.45739079073040767
0.56,0.5986864897502647,0.6162352155231313,0.5908079326469898,0.46444100940029154
0.5650000000000001,0.6046626149445198,0.6219652915901189,0.5966820090030853,0.47110792741165236
